emp_no,dept_no,from_date,to_date
110022,d001,1/1/1985,10/1/1991
110039,d001,10/1/1991,1/1/9999
110085,d002,1/1/1985,12/17/1989
110114,d002,12/17/1989,1/1/9999
110183,d003,1/1/1985,3/21/1992
110228,d003,3/21/1992,1/1/9999
110303,d004,1/1/1985,9/9/1988
110344,d004,9/9/1988,8/2/1992
110386,d004,8/2/1992,8/30/1996
110420,d004,8/30/1996,1/1/9999
110511,d005,1/1/1985,4/25/1992
110567,d005,4/25/1992,1/1/9999
110725,d006,1/1/1985,5/6/1989
110765,d006,5/6/1989,9/12/1991
110800,d006,9/12/1991,6/28/1994
110854,d006,6/28/1994,1/1/9999
111035,d007,1/1/1985,3/7/1991
111133,d007,3/7/1991,1/1/9999
111400,d008,1/1/1985,4/8/1991
111534,d008,4/8/1991,1/1/9999
111692,d009,1/1/1985,10/17/1988
111784,d009,10/17/1988,9/8/1992
111877,d009,9/8/1992,1/3/1996
111939,d009,1/3/1996,1/1/9999
